Date,Product,Category,Sales,Quantity,Customer_Age,Customer_Gender,Region,Customer_Satisfaction,Discount_Applied,Shipping_Cost,Total_Amount,Profit_Margin
2023-01-01,TV,Electronics,692.593105822826,6,51.0,Male,West,2,True,14.052885452999575,4169.611520389955,220.3007683664142
2023-01-02,Headphones,Electronics,561.5241510902104,1,33.0,Male,North,1,True,8.602853113803452,570.1270042040138,170.07024075369006
2023-01-03,Tablet,Accessories,410.21583447804085,4,39.0,Female,North,3,True,26.350393093003547,1667.213731005167,129.50598802191334
2023-01-04,Headphones,Appliances,513.4997071750017,7,49.0,Female,South,3,True,5.448615563053332,3599.9465657880655,154.86980029074772
2023-01-05,Headphones,Electronics,539.5131980344764,1,55.0,Male,North,3,True,8.814476949184993,548.3276749836614,144.33018845893295
2023-01-06,Smartphone,Accessories,589.845686983949,8,25.0,Female,South,2,True,41.34316413033388,4760.108660001926,168.3464144612313
2023-01-07,Tablet,Appliances,284.6678983644669,6,25.0,Female,North,2,False,39.71630051868229,1747.7236907054837,92.12426288545389
2023-01-08,Tablet,Electronics,633.681592188473,5,23.0,Male,East,1,False,46.181246918220324,3214.5892078605857,191.77103583014033
2023-01-09,Tablet,Appliances,282.08138034106946,9,31.0,Female,West,4,True,43.453194615983726,2582.1856176856086,96.43431315537757
2023-01-10,Headphones,Accessories,826.2251704563744,2,49.0,Male,South,1,True,35.74290034579182,1688.1932412585406,251.90029676728403
2023-01-11,TV,Electronics,345.6743355166243,5,52.0,Male,West,3,True,7.354978578529828,1735.7266561616514,94.03528174796068
2023-01-12,Tablet,Appliances,559.3256639352351,6,27.0,Male,South,1,True,40.228187809399586,3396.18217142081,159.83705780336416
2023-01-13,Headphones,Electronics,701.0285146556035,7,20.0,Male,South,4,False,43.04798648782522,4950.24758907705,211.33772830191342
2023-01-14,Smartphone,Appliances,449.52399130711007,5,29.0,Female,South,2,False,40.95869655973795,2288.5786530952882,111.71675673213196
2023-01-15,TV,Accessories,568.1200038199717,9,66.0,Male,East,1,True,27.881556588861173,5140.961590968605,187.17042000222136
2023-01-16,Smartphone,Accessories,787.0363098380103,1,48.0,Female,North,3,False,15.480582739226675,802.516892577237,240.52836031517867
2023-01-17,TV,Electronics,612.8805975786532,7,46.0,Female,South,3,False,43.0398489059927,4333.204031956565,196.1345252440847
2023-01-18,Headphones,Appliances,571.1101259348706,7,22.0,Female,East,2,True,37.72232643830623,4035.4932079824,155.52699837236946
2023-01-19,Laptop,Electronics,163.0429210359076,4,69.0,Female,South,1,True,49.134252847498324,701.3059369911288,61.35852791432483
2023-01-20,TV,Electronics,313.25554945195546,9,42.0,Female,North,4,True,12.006166899016982,2831.3061119666163,116.29165394586411
2023-01-21,Smartphone,Appliances,709.3840255300024,5,,Male,South,2,True,15.154906237342477,3562.0750338873545,199.60642410522755
2023-01-22,Headphones,Appliances,613.9900610682764,4,48.0,Male,East,1,False,14.530916744667621,2470.4911610177733,191.9110362695206
